                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.69648,                0.88839,                 1.2057,                0.74774,                0.76887,                0.80846,                0.61911,                 1.0268,                 1.0361,                 1.6113,             0.00017515,             0.00017515,             0.00017515
                     52,                0.70751,                0.88565,                 1.1979,                0.74273,                0.77592,                0.77788,                0.59493,                 1.0009,                 1.0484,                 1.5926,             0.00017272,             0.00017272,             0.00017272
                     53,                0.70204,                0.86302,                 1.2004,                0.67187,                 0.8067,                0.79015,                 0.6048,                0.98909,                 1.0899,                 1.5831,              0.0001703,              0.0001703,              0.0001703
                     54,                0.70018,                0.85879,                 1.1943,                0.75897,                0.74166,                0.77407,                0.59307,                 1.0286,                 1.1023,                 1.6146,             0.00016787,             0.00016787,             0.00016787
                     55,                0.69294,                0.86149,                 1.1993,                0.68759,                0.77272,                0.77256,                 0.5934,                0.99946,                 1.0955,                 1.5868,             0.00016545,             0.00016545,             0.00016545
                     56,                0.70501,                0.86821,                 1.2004,                0.72703,                0.76784,                0.79187,                 0.6141,                0.99819,                 1.0283,                 1.5789,             0.00016302,             0.00016302,             0.00016302
                     57,                0.68866,                0.84777,                 1.1997,                0.72823,                0.78202,                0.77575,                0.59574,                 1.0166,                 1.0845,                 1.5858,              0.0001606,              0.0001606,              0.0001606
                     58,                0.69391,                0.82888,                 1.1985,                0.67456,                0.80071,                0.78449,                0.60459,                 1.0059,                 1.1022,                  1.579,             0.00015817,             0.00015817,             0.00015817
                     59,                0.67496,                0.83822,                 1.1942,                0.71368,                0.78977,                0.78195,                0.59653,                 1.0221,                 1.0713,                 1.6222,             0.00015575,             0.00015575,             0.00015575
                     60,                0.67407,                0.81447,                 1.1874,                0.69646,                0.79901,                0.78937,                0.60543,                 1.0333,                 1.0657,                 1.6218,             0.00015332,             0.00015332,             0.00015332
                     61,                0.66535,                0.82616,                 1.1791,                0.73228,                0.76439,                0.78541,                0.60178,                0.99533,                 1.0262,                 1.5979,              0.0001509,              0.0001509,              0.0001509
                     62,                0.67977,                0.82474,                 1.1893,                0.75285,                 0.7425,                0.78844,                0.60108,                 1.0376,                 1.0833,                 1.6329,             0.00014847,             0.00014847,             0.00014847
                     63,                0.66408,                0.81784,                 1.1836,                0.78034,                0.71295,                0.78616,                0.60444,                 1.0157,                 1.0749,                 1.6201,             0.00014604,             0.00014604,             0.00014604
                     64,                0.68639,                0.80441,                 1.1856,                0.78049,                0.75215,                0.79145,                0.60752,                0.99518,                 1.0256,                 1.5856,             0.00014362,             0.00014362,             0.00014362
                     65,                0.66818,                0.80835,                 1.1772,                  0.781,                0.72694,                0.78025,                0.60323,                 1.0056,                 1.0482,                 1.6015,             0.00014119,             0.00014119,             0.00014119
                     66,                0.64417,                0.78177,                 1.1641,                0.75342,                0.76306,                0.77248,                 0.6025,                0.99194,                 1.0623,                  1.599,             0.00013877,             0.00013877,             0.00013877
                     67,                0.65962,                  0.786,                 1.1804,                0.74574,                0.77378,                0.79401,                0.61291,                0.99349,                 1.0108,                 1.5801,             0.00013634,             0.00013634,             0.00013634
                     68,                0.64372,                0.76094,                 1.1602,                0.72733,                0.76089,                0.77675,                0.59953,                 1.0045,                 1.0286,                 1.5993,             0.00013392,             0.00013392,             0.00013392
                     69,                0.65988,                0.76956,                 1.1736,                0.69201,                0.78744,                0.77451,                 0.5989,                 1.0021,                 1.0284,                 1.5972,             0.00013149,             0.00013149,             0.00013149
